Remaining decisions,Money accumulated,Last outcome was positive,Last outcome was negative,Money accumulated > Loan,Money accumulated < Loan,Current decision,Cards chosen from deck (A),Positive last outcome (A),Negative last outcome (A),Positive cards (A),Negative cards (A),Frequency of positive cards (A),Frequency of negative cards (A),Best outcome (A),Worst outcome (A),decisions without choosing (A),Won money (A),Lost money (A),Cards chosen from deck (B),Positive last outcome (B),Negative last outcome (B),Positive cards (B),Negative cards (B),Frequency of positive cards (B),Frequency of negative cards (B),Best outcome (B),Worst outcome (B),decisions without choosing (B),Won money (B),Lost money (B),Cards chosen from deck (C),Positive last outcome (C),Negative last outcome (C),Positive cards (C),Negative cards (C),Frequency of positive cards (C),Frequency of negative cards (C),Best outcome (C),Worst outcome (C),decisions without choosing (C),Won money (C),Lost money (C),Cards chosen from deck (D),Positive last outcome (D),Negative last outcome (D),Positive cards (D),Negative cards (D),Frequency of positive cards (D),Frequency of negative cards (D),Best outcome (D),Worst outcome (D),decisions without choosing (D),Won money (D),Lost money (D),Selected deck,Time
48,1300,True,False,True,False,52,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,49,300,150,2,False,True,1,1,0.5,0.5,100,-1150,47,200,1250,11,True,False,11,0,1.0,0.0,50,0,27,550,150,36,True,False,32,4,0.8888888888888888,0.1111111111111111,50,-200,0,1800,1000,D,174.0
47,1350,True,False,True,False,53,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,50,300,150,2,False,True,1,1,0.5,0.5,100,-1150,48,200,1250,11,True,False,11,0,1.0,0.0,50,0,28,550,150,37,True,False,33,4,0.8918918918918919,0.10810810810810811,50,-200,0,1850,1000,D,79.0
46,1400,True,False,True,False,54,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,51,300,150,2,False,True,1,1,0.5,0.5,100,-1150,49,200,1250,11,True,False,11,0,1.0,0.0,50,0,29,550,150,38,True,False,34,4,0.8947368421052632,0.10526315789473684,50,-200,0,1900,1000,D,180.0
45,1450,True,False,True,False,55,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,52,300,150,2,False,True,1,1,0.5,0.5,100,-1150,50,200,1250,11,True,False,11,0,1.0,0.0,50,0,30,550,150,39,True,False,35,4,0.8974358974358975,0.10256410256410256,50,-200,0,1950,1000,D,86.0
44,1500,True,False,True,False,56,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,53,300,150,2,False,True,1,1,0.5,0.5,100,-1150,51,200,1250,11,True,False,11,0,1.0,0.0,50,0,31,550,150,40,True,False,36,4,0.9,0.1,50,-200,0,2000,1000,D,180.0
43,1550,True,False,True,False,57,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,54,300,150,2,False,True,1,1,0.5,0.5,100,-1150,52,200,1250,11,True,False,11,0,1.0,0.0,50,0,32,550,150,41,True,False,37,4,0.9024390243902439,0.0975609756097561,50,-200,0,2050,1000,D,95.0
42,1600,True,False,True,False,58,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,55,300,150,2,False,True,1,1,0.5,0.5,100,-1150,53,200,1250,11,True,False,11,0,1.0,0.0,50,0,33,550,150,42,True,False,38,4,0.9047619047619048,0.09523809523809523,50,-200,0,2100,1000,D,186.0
41,1650,True,False,True,False,59,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,56,300,150,2,False,True,1,1,0.5,0.5,100,-1150,54,200,1250,11,True,False,11,0,1.0,0.0,50,0,34,550,150,43,True,False,39,4,0.9069767441860465,0.09302325581395349,50,-200,0,2150,1000,D,81.0
40,1700,True,False,True,False,60,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,57,300,150,2,False,True,1,1,0.5,0.5,100,-1150,55,200,1250,11,True,False,11,0,1.0,0.0,50,0,35,550,150,44,True,False,40,4,0.9090909090909091,0.09090909090909091,50,-200,0,2200,1000,D,177.0
39,1750,True,False,True,False,61,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,58,300,150,2,False,True,1,1,0.5,0.5,100,-1150,56,200,1250,11,True,False,11,0,1.0,0.0,50,0,36,550,150,45,True,False,41,4,0.9111111111111111,0.08888888888888889,50,-200,0,2250,1000,D,101.0
38,1800,True,False,True,False,62,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,59,300,150,2,False,True,1,1,0.5,0.5,100,-1150,57,200,1250,11,True,False,11,0,1.0,0.0,50,0,37,550,150,46,True,False,42,4,0.9130434782608695,0.08695652173913043,50,-200,0,2300,1000,D,187.0
37,1850,True,False,True,False,63,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,60,300,150,2,False,True,1,1,0.5,0.5,100,-1150,58,200,1250,11,True,False,11,0,1.0,0.0,50,0,38,550,150,47,True,False,43,4,0.9148936170212766,0.0851063829787234,50,-200,0,2350,1000,D,74.0
36,1900,True,False,True,False,64,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,61,300,150,2,False,True,1,1,0.5,0.5,100,-1150,59,200,1250,11,True,False,11,0,1.0,0.0,50,0,39,550,150,48,True,False,44,4,0.9166666666666666,0.08333333333333333,50,-200,0,2400,1000,D,186.0
35,1950,True,False,True,False,65,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,62,300,150,2,False,True,1,1,0.5,0.5,100,-1150,60,200,1250,11,True,False,11,0,1.0,0.0,50,0,40,550,150,49,True,False,45,4,0.9183673469387755,0.08163265306122448,50,-200,0,2450,1000,D,79.0
34,2000,True,False,True,False,66,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,63,300,150,2,False,True,1,1,0.5,0.5,100,-1150,61,200,1250,11,True,False,11,0,1.0,0.0,50,0,41,550,150,50,True,False,46,4,0.92,0.08,50,-200,0,2500,1000,D,195.0
33,2050,True,False,True,False,67,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,64,300,150,2,False,True,1,1,0.5,0.5,100,-1150,62,200,1250,11,True,False,11,0,1.0,0.0,50,0,42,550,150,51,True,False,47,4,0.9215686274509803,0.0784313725490196,50,-200,0,2550,1000,D,65.0
32,2100,True,False,True,False,68,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,65,300,150,2,False,True,1,1,0.5,0.5,100,-1150,63,200,1250,11,True,False,11,0,1.0,0.0,50,0,43,550,150,52,True,False,48,4,0.9230769230769231,0.07692307692307693,50,-200,0,2600,1000,D,194.0
31,2150,True,False,True,False,69,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,66,300,150,2,False,True,1,1,0.5,0.5,100,-1150,64,200,1250,11,True,False,11,0,1.0,0.0,50,0,44,550,150,53,True,False,49,4,0.9245283018867925,0.07547169811320754,50,-200,0,2650,1000,D,71.0
30,2200,True,False,True,False,70,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,67,300,150,2,False,True,1,1,0.5,0.5,100,-1150,65,200,1250,11,True,False,11,0,1.0,0.0,50,0,45,550,150,54,True,False,50,4,0.9259259259259259,0.07407407407407407,50,-200,0,2700,1000,D,188.0
29,2250,True,False,True,False,71,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,68,300,150,2,False,True,1,1,0.5,0.5,100,-1150,66,200,1250,11,True,False,11,0,1.0,0.0,50,0,46,550,150,55,True,False,51,4,0.9272727272727272,0.07272727272727272,50,-200,0,2750,1000,D,81.0
28,2300,True,False,True,False,72,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,69,300,150,2,False,True,1,1,0.5,0.5,100,-1150,67,200,1250,11,True,False,11,0,1.0,0.0,50,0,47,550,150,56,True,False,52,4,0.9285714285714286,0.07142857142857142,50,-200,0,2800,1000,D,192.0
27,2350,True,False,True,False,73,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,70,300,150,2,False,True,1,1,0.5,0.5,100,-1150,68,200,1250,11,True,False,11,0,1.0,0.0,50,0,48,550,150,57,True,False,53,4,0.9298245614035088,0.07017543859649122,50,-200,0,2850,1000,D,88.0
